Team [team_name=Boston Celtics, division_id=Atlantic, conference_id=East]
Team [team_name=Brooklyn Nets, division_id=Atlantic, conference_id=East]
Team [team_name=New York Knicks, division_id=Atlantic, conference_id=East]
Team [team_name=Philadelphia 76ers, division_id=Atlantic, conference_id=East]
Team [team_name=Toronto Raptors, division_id=Atlantic, conference_id=East]
Team [team_name=Chicago Bulls, division_id=Central, conference_id=East]
Team [team_name=Cleveland Cavaliers, division_id=Central, conference_id=East]
Team [team_name=Detroit Pistons, division_id=Central, conference_id=East]
Team [team_name=Indiana Pacers, division_id=Central, conference_id=East]
Team [team_name=Milwaukee Bucks, division_id=Central, conference_id=East]
Team [team_name=Atlanta Hawks, division_id=Southeast, conference_id=East]
Team [team_name=Charlotte Hornets, division_id=Southeast, conference_id=East]
Team [team_name=Miami Heat, division_id=Southeast, conference_id=East]
Team [team_name=Orlando Magic, division_id=Southeast, conference_id=East]
Team [team_name=Washington Wizards, division_id=Southeast, conference_id=East]
Team [team_name=Denver Nuggets, division_id=Northwest, conference_id=West]
Team [team_name=Minnesota Timberwolves, division_id=Northwest, conference_id=West]
Team [team_name=Oklahoma City Thunder, division_id=Northwest, conference_id=West]
Team [team_name=Portland Trail Blazers, division_id=Northwest, conference_id=West]
Team [team_name=Utah Jazz, division_id=Northwest, conference_id=West]
Team [team_name=Golden State Warriors, division_id=Pacific, conference_id=West]
Team [team_name=LA Clippers, division_id=Pacific, conference_id=West]
Team [team_name=Los Angeles Lakers, division_id=Pacific, conference_id=West]
Team [team_name=Phoenix Suns, division_id=Pacific, conference_id=West]
Team [team_name=Sacramento Kings, division_id=Pacific, conference_id=West]
Team [team_name=Dallas Mavericks, division_id=Southwest, conference_id=West]
Team [team_name=Houston Rockets, division_id=Southwest, conference_id=West]
GameInfo [date=Fri Nov 04 00:00:00 EDT 2016, home_team=Toronto Raptors, away_team=Miami Heat, home_score=96, away_score=87, winner=Home]
GameInfo [date=Fri Nov 04 00:00:00 EDT 2016, home_team=Brooklyn Nets, away_team=Charlotte Hornets, home_score=95, away_score=99, winner=Away]
GameInfo [date=Fri Nov 04 00:00:00 EDT 2016, home_team=Chicago Bulls, away_team=New York Knicks, home_score=104, away_score=117, winner=Away]
GameInfo [date=Fri Nov 04 00:00:00 EDT 2016, home_team=Memphis Grizzlies, away_team=LA Clippers, home_score=88, away_score=99, winner=Away]
GameInfo [date=Fri Nov 04 00:00:00 EDT 2016, home_team=New Orleans Pelicans, away_team=Phoenix Suns, home_score=111, away_score=112, winner=Away]
GameInfo [date=Fri Nov 04 00:00:00 EDT 2016, home_team=Dallas Mavericks, away_team=Portland Trail Blazers, home_score=95, away_score=105, winner=Away]
GameInfo [date=Fri Nov 04 00:00:00 EDT 2016, home_team=Utah Jazz, away_team=San Antonio Spurs, home_score=86, away_score=100, winner=Away]
GameInfo [date=Fri Nov 04 00:00:00 EDT 2016, home_team=Los Angeles Lakers, away_team=Golden State Warriors, home_score=117, away_score=97, winner=Home]
GameInfo [date=Sat Nov 05 00:00:00 EDT 2016, home_team=Oklahoma City Thunder, away_team=Minnesota Timberwolves, home_score=112, away_score=92, winner=Home]
GameInfo [date=Sat Nov 05 00:00:00 EDT 2016, home_team=Philadelphia 76ers, away_team=Cleveland Cavaliers, home_score=101, away_score=102, winner=Away]
GameInfo [date=Sat Nov 05 00:00:00 EDT 2016, home_team=Orlando Magic, away_team=Washington Wizards, home_score=88, away_score=86, winner=Home]
GameInfo [date=Sat Nov 05 00:00:00 EDT 2016, home_team=Detroit Pistons, away_team=Denver Nuggets, home_score=103, away_score=86, winner=Home]
GameInfo [date=Sat Nov 05 00:00:00 EDT 2016, home_team=Indiana Pacers, away_team=Chicago Bulls, home_score=111, away_score=94, winner=Home]
GameInfo [date=Sat Nov 05 00:00:00 EDT 2016, home_team=Atlanta Hawks, away_team=Houston Rockets, home_score=112, away_score=97, winner=Home]
GameInfo [date=Sat Nov 05 00:00:00 EDT 2016, home_team=Milwaukee Bucks, away_team=Sacramento Kings, home_score=117, away_score=91, winner=Home]
GameInfo [date=Sat Nov 05 00:00:00 EDT 2016, home_team=San Antonio Spurs, away_team=LA Clippers, home_score=92, away_score=116, winner=Away]
GameInfo [date=Sun Nov 06 00:00:00 EDT 2016, home_team=New York Knicks, away_team=Utah Jazz, home_score=109, away_score=114, winner=Away]
GameInfo [date=Sun Nov 06 00:00:00 EDT 2016, home_team=Memphis Grizzlies, away_team=Portland Trail Blazers, home_score=94, away_score=100, winner=Away]
GameInfo [date=Sun Nov 06 00:00:00 EDT 2016, home_team=Toronto Raptors, away_team=Sacramento Kings, home_score=91, away_score=96, winner=Away]
GameInfo [date=Sun Nov 06 00:00:00 EDT 2016, home_team=Dallas Mavericks, away_team=Milwaukee Bucks, home_score=86, away_score=75, winner=Home]
GameInfo [date=Sun Nov 06 00:00:00 EDT 2016, home_team=Boston Celtics, away_team=Denver Nuggets, home_score=107, away_score=123, winner=Away]
